"Call Tree - Method";"Time [%]";"Time";"Invocations";
"  All threads";"100.0";"6391554";"1"
"   AWT-EventQueue-0";"100.0";"5338944";"1"
"    Interfaz.Swing.Comprar_Ambulancias$2.actionPerformed(java.awt.event.ActionEvent)";"16.49787";"880812";"2"
"     Interfaz.Swing.Comprar_Ambulancias.access$100(Interfaz.Swing.Comprar_Ambulancias, java.awt.event.ActionEvent)";"16.497007";"880766";"2"
"      Interfaz.Swing.Comprar_Ambulancias.comprarActionPerformed(java.awt.event.ActionEvent)";"16.496634";"880746";"2"
"       Sistema.Sistema.crear_ambulancia(Class, int)";"15.132131";"807896";"2"
"        Sistema.Tipos.Hospital.comprar_ambulancia(Class, int)";"12.461922";"665335";"2"
"         Sistema.Tipos.Admin_Ambulancias.comprar(Class, Integer)";"12.461266";"665300";"2"
"          Interfaz.IU.informar(String)";"12.331446";"658369";"7"
"          Self time";"0.070482105";"3763";"2"
"          Utils.System_Log.log_normal(String)";"0.05493596";"2933";"2"
"          Sistema.Tipos.Ambulancias.Camion.<init>(long, Sistema.Tipos.Punto)";"0.0018917599";"101";"5"
"           Self time";"0.0010301663";"55";"5"
"           Sistema.Tipos.Ambulancias.Ambulancia.<init>(long, int, Sistema.Tipos.Punto, float)";"8.615936E-4";"46";"5"
"          Sistema.Tipos.Admin_Ambulancias.get_max_id()";"0.0014422328";"77";"2"
"          Sistema.Tipos.Ambulancias.Helicoptero.<init>(long, Sistema.Tipos.Punto)";"0.0010301663";"55";"2"
"           Self time";"5.05718E-4";"27";"2"
"           Sistema.Tipos.Ambulancias.Aereos.<init>(long, int, Sistema.Tipos.Punto)";"5.05718E-4";"27";"2"
"            Self time";"3.933362E-4";"21";"2"
"            Sistema.Tipos.Ambulancias.Ambulancia.<init>(long, int, Sistema.Tipos.Punto, float)";"9.365148E-5";"5";"2"
"         Self time";"6.5556035E-4";"35";"2"
"        Interfaz.IU.informar(String)";"2.6656208";"142316";"2"
"        Self time";"0.004307968";"230";"2"
"        Sistema.Sistema.hopsitalCreado()";"2.2476354E-4";"12";"2"
"       Self time";"0.79023117";"42190";"2"
"       Interfaz.Swing.Menu_Ambulancias.<init>()";"0.57369024";"30629";"2"
"        Interfaz.Swing.Menu_Ambulancias.initComponents()";"0.5177803";"27644";"2"
"         Self time";"0.5009043";"26743";"2"
"         Interfaz.Swing.Menu_Ambulancias$1.<init>(Interfaz.Swing.Menu_Ambulancias)";"1.1238177E-4";"6";"2"
"         Interfaz.Swing.Menu_Ambulancias$2.<init>(Interfaz.Swing.Menu_Ambulancias)";"9.365148E-5";"5";"2"
"         Interfaz.Swing.Menu_Ambulancias$3.<init>(Interfaz.Swing.Menu_Ambulancias)";"9.365148E-5";"5";"2"
"         Interfaz.Swing.Menu_Ambulancias$4.<init>(Interfaz.Swing.Menu_Ambulancias)";"7.492118E-5";"4";"2"
"        Self time";"0.051452123";"2747";"2"
"       Interfaz.Swing.Nucleo_Keeper.get_Nucleo()";"9.365148E-5";"5";"2"
"      Self time";"3.558756E-4";"19";"2"
"     Self time";"8.615936E-4";"46";"2"
"    Interfaz.Swing.Menu_Pedido$2.actionPerformed(java.awt.event.ActionEvent)";"10.5094";"561091";"3"
"     Interfaz.Swing.Menu_Pedido.access$100(Interfaz.Swing.Menu_Pedido, java.awt.event.ActionEvent)";"10.508145";"561024";"3"
"      Interfaz.Swing.Menu_Pedido.jButton1ActionPerformed(java.awt.event.ActionEvent)";"10.507827";"561007";"3"
"       Sistema.Sistema.realizar_pedido(long, String)";"10.503276";"560764";"3"
"        Interfaz.IU.informar(String)";"6.177832";"329831";"3"
"        Sistema.Sistema.existe_tipo_vehiculo(String)";"2.2637248";"120859";"3"
"         Utils.Tipo_Utils.subclases_ambulancia()";"2.2615147";"120741";"3"
"          Utils.SubClassFinder.<init>()";"1.8771877";"100222";"3"
"           Utils.SubClassFinder.refreshLocations()";"1.8764759";"100184";"3"
"            Utils.SubClassFinder.getClasspathLocations()";"1.8762137";"100170";"3"
"             Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"1.8710442";"99894";"3"
"              Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"1.7035017";"90949";"18"
"               Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"1.194843";"63792";"6"
"                Utils.SubClassFinder$1.accept(java.io.File)";"0.87039685";"46470";"282"
"                Self time";"0.22279687";"11895";"6"
"                Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.0968169";"5169";"3"
"                 Utils.SubClassFinder$1.accept(java.io.File)";"0.058644556";"3131";"21"
"                 Self time";"0.038172342";"2038";"3"
"                Utils.SubClassFinder$2.compare(Object, Object)";"0.0047949557";"256";"12"
"                 Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.004251777";"227";"12"
"                 Self time";"5.244483E-4";"28";"12"
"               Self time";"0.25289646";"13502";"18"
"               Utils.SubClassFinder$1.accept(java.io.File)";"0.24407448";"13031";"93"
"               Utils.SubClassFinder$2.compare(Object, Object)";"0.011650244";"622";"15"
"                Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.01073246";"573";"15"
"                Self time";"9.1778446E-4";"49";"15"
"              Self time";"0.09661087";"5158";"3"
"              Utils.SubClassFinder$1.accept(java.io.File)";"0.05310039";"2835";"18"
"              Utils.SubClassFinder$2.compare(Object, Object)";"0.017775051";"949";"42"
"               Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.015546146";"830";"42"
"               Self time";"0.002210175";"118";"42"
"             Self time";"0.0051695616";"276";"3"
"            Self time";"2.4349385E-4";"13";"3"
"           Self time";"6.9302093E-4";"37";"3"
"          Utils.SubClassFinder.findSubclasses(String)";"0.38101166";"20342";"3"
"           Utils.SubClassFinder.findSubclasses(Class, java.util.Map)";"0.37893263";"20231";"3"
"            Utils.SubClassFinder.findSubclasses(java.net.URL, String, Class)";"0.3487394";"18619";"27"
"             Self time";"0.34216505";"18268";"27"
"             Utils.SubClassFinder$3.compare(Object, Object)";"0.0065556034";"350";"33"
"              Utils.SubClassFinder$3.compare(Class, Class)";"0.0053381342";"285";"33"
"              Self time";"0.0011987389";"64";"33"
"            Utils.SubClassFinder$2.compare(Object, Object)";"0.023600172";"1260";"75"
"             Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.02092174";"1117";"75"
"             Self time";"0.0026784323";"143";"75"
"            Self time";"0.0065743336";"351";"3"
"           Self time";"0.0020790629";"111";"3"
"          Self time";"0.0029031958";"155";"3"
"          Utils.SubClassFinder.getErrors()";"4.120665E-4";"22";"3"
"         Self time";"0.0021914446";"117";"3"
"        Sistema.Tipos.Hospital.crear_pedido(Sistema.Tipos.Punto, Class)";"2.059059";"109932";"3"
"         Sistema.Tipos.Hospital.dispatcher(Sistema.Tipos.Pedido)";"2.0579538";"109873";"3"
"          Sistema.Tipos.Logistica.camino_ida(Sistema.Tipos.Pedido)";"1.9346335";"103289";"3"
"           Utils.Spath.camino_mas_corto(Sistema.Tipos.Punto, Sistema.Tipos.Punto, Sistema.Tipos.Ciudad)";"1.9340717";"103259";"3"
"            Utils.Spath.puntos_activos(Utils.ArrayLista)";"1.6438831";"87766";"93"
"             Utils.ArrayLista.add(Object)";"1.5619006";"83389";"1536"
"              Self time";"1.2963425";"69211";"1536"
"              Sistema.Tipos.Punto.equals(Object)";"0.2655394";"14177";"13718"
"             Self time";"0.077618346";"4144";"93"
"             Utils.ArrayLista.<init>()";"0.004364159";"233";"93"
"            Utils.Spath.obtener_vecinos(Utils.ArrayLista, Utils.Spath.Punto_M, Utils.ArrayLista)";"0.107362054";"5732";"45"
"             Self time";"0.08986796";"4798";"45"
"             Sistema.Tipos.Punto.equals(Object)";"0.013748037";"734";"2673"
"             Utils.ArrayLista.add(Object)";"0.0020790629";"111";"55"
"              Self time";"0.0018168386";"97";"55"
"              Sistema.Tipos.Calle.equals(Object)";"2.6222414E-4";"14";"17"
"             Utils.ArrayLista.<init>()";"0.0016295357";"87";"45"
"            Self time";"0.07347895";"3923";"3"
"            Utils.Spath.To_Mi_Punto(Utils.ArrayLista)";"0.048923533";"2612";"3"
"             Utils.ArrayLista.add(Object)";"0.035250418";"1882";"75"
"              Self time";"0.022476355";"1200";"75"
"              Sistema.Tipos.Punto.equals(Object)";"0.012774061";"682";"900"
"             Utils.Spath$Punto_M.<init>(Sistema.Tipos.Punto)";"0.0075670397";"404";"75"
"              Utils.Spath$Punto_M.<init>(long, float, float)";"0.0042705075";"228";"75"
"               Self time";"0.002790814";"149";"75"
"               Sistema.Tipos.Punto.<init>(long, float, float)";"0.001460963";"78";"75"
"              Self time";"0.003296532";"176";"75"
"             Self time";"0.0059749642";"319";"3"
"             Utils.ArrayLista.<init>()";"1.1238177E-4";"6";"3"
"            Utils.Spath$etq_comparator.compare(Object, Object)";"0.024461767";"1306";"735"
"             Self time";"0.016838536";"899";"735"
"             Utils.Spath$etq_comparator.compare(Utils.Spath.Punto_M, Utils.Spath.Punto_M)";"0.0076232306";"407";"735"
"            Utils.Spath.punto_equivalente(Sistema.Tipos.Punto, Utils.ArrayLista)";"0.017231872";"920";"116"
"            Utils.Spath.construir_camino_de_calles(Utils.ArrayLista, Utils.ArrayLista, Utils.ArrayLista)";"0.011294369";"603";"3"
"             Utils.Spath.buscar_calle(Sistema.Tipos.Punto, Sistema.Tipos.Punto, Utils.ArrayLista)";"0.008728318";"466";"19"
"              Self time";"0.0069489395";"371";"19"
"              Sistema.Tipos.Punto.equals(Object)";"0.0017606477";"94";"346"
"             Utils.ArrayLista.add(Object)";"0.0015733448";"84";"19"
"              Self time";"0.0011238178";"60";"19"
"              Sistema.Tipos.Calle.equals(Object)";"4.307968E-4";"23";"53"
"             Self time";"9.927057E-4";"53";"3"
"            Utils.Spath.constuir_camino_de_puntos(Utils.Spath.Punto_M, Utils.Spath.Punto_M, Utils.ArrayLista)";"0.0028657352";"153";"3"
"             Utils.Spath.constuir_camino_de_puntos(Utils.Spath.Punto_M, Utils.Spath.Punto_M, Utils.ArrayLista)";"0.0024911293";"133";"3"
"              Utils.Spath.constuir_camino_de_puntos(Utils.Spath.Punto_M, Utils.Spath.Punto_M, Utils.ArrayLista)";"0.0020603326";"110";"3"
"               Utils.Spath.constuir_camino_de_puntos(Utils.Spath.Punto_M, Utils.Spath.Punto_M, Utils.ArrayLista)";"0.0016857266";"90";"3"
"                Utils.Spath.constuir_camino_de_puntos(Utils.Spath.Punto_M, Utils.Spath.Punto_M, Utils.ArrayLista)";"0.0012549298";"67";"3"
"                 Utils.ArrayLista.add(Object)";"5.431786E-4";"29";"4"
"                  Self time";"3.933362E-4";"21";"4"
"                  Sistema.Tipos.Punto.equals(Object)";"1.4984237E-4";"8";"17"
"                 Utils.Spath.constuir_camino_de_puntos(Utils.Spath.Punto_M, Utils.Spath.Punto_M, Utils.ArrayLista)";"5.244483E-4";"28";"2"
"                  Utils.Spath.constuir_camino_de_puntos(Utils.Spath.Punto_M, Utils.Spath.Punto_M, Utils.ArrayLista)";"3.3714532E-4";"18";"1"
"                   Utils.Spath.constuir_camino_de_puntos(Utils.Spath.Punto_M, Utils.Spath.Punto_M, Utils.ArrayLista)";"2.0603325E-4";"11";"1"
"                    Utils.ArrayLista.add(Object)";"1.8730295E-4";"10";"2"
"                     Self time";"1.4984237E-4";"8";"2"
"                     Sistema.Tipos.Punto.equals(Object)";"1.8730296E-5";"1";"15"
"                    Self time";"0.0";"0";"1"
"                    Sistema.Tipos.Punto.equals(Object)";"0.0";"0";"1"
"                   Utils.ArrayLista.add(Object)";"5.6190886E-5";"3";"1"
"                    Self time";"3.746059E-5";"2";"1"
"                    Sistema.Tipos.Punto.equals(Object)";"0.0";"0";"6"
"                   Self time";"3.746059E-5";"2";"1"
"                   Sistema.Tipos.Punto.equals(Object)";"0.0";"0";"1"
"                  Utils.ArrayLista.add(Object)";"1.3111207E-4";"7";"3"
"                   Self time";"1.3111207E-4";"7";"3"
"                   Sistema.Tipos.Punto.equals(Object)";"0.0";"0";"16"
"                  Self time";"1.8730296E-5";"1";"2"
"                  Sistema.Tipos.Punto.equals(Object)";"1.8730296E-5";"1";"2"
"                 Self time";"1.4984237E-4";"8";"3"
"                 Sistema.Tipos.Punto.equals(Object)";"1.8730296E-5";"1";"3"
"                Utils.ArrayLista.add(Object)";"2.2476354E-4";"12";"3"
"                 Self time";"1.8730295E-4";"10";"3"
"                 Sistema.Tipos.Punto.equals(Object)";"3.746059E-5";"2";"9"
"                Self time";"1.4984237E-4";"8";"3"
"                Sistema.Tipos.Punto.equals(Object)";"0.0";"0";"3"
"               Utils.ArrayLista.add(Object)";"1.8730295E-4";"10";"3"
"                Self time";"1.3111207E-4";"7";"3"
"                Sistema.Tipos.Punto.equals(Object)";"5.6190886E-5";"3";"6"
"               Self time";"1.4984237E-4";"8";"3"
"               Sistema.Tipos.Punto.equals(Object)";"0.0";"0";"3"
"              Utils.ArrayLista.add(Object)";"2.2476354E-4";"12";"3"
"               Sistema.Tipos.Punto.equals(Object)";"1.3111207E-4";"7";"3"
"               Self time";"9.365148E-5";"5";"3"
"              Self time";"1.4984237E-4";"8";"3"
"              Sistema.Tipos.Punto.equals(Object)";"1.8730296E-5";"1";"3"
"             Self time";"2.4349385E-4";"13";"3"
"             Utils.ArrayLista.add(Object)";"9.365148E-5";"5";"3"
"             Sistema.Tipos.Punto.equals(Object)";"0.0";"0";"3"
"            Sistema.Tipos.Punto.equals(Object)";"0.0016669963";"89";"123"
"            Utils.Spath$etq_comparator.<init>(Utils.Spath.1)";"0.0015171539";"81";"48"
"             Self time";"0.0010301663";"55";"48"
"             Utils.Spath$etq_comparator.<init>()";"4.682574E-4";"25";"48"
"            Utils.Spath$Punto_M.<init>(Sistema.Tipos.Punto)";"8.054027E-4";"43";"3"
"             Self time";"4.682574E-4";"25";"3"
"             Utils.Spath$Punto_M.<init>(long, float, float)";"3.3714532E-4";"18";"3"
"              Self time";"2.8095444E-4";"15";"3"
"              Sistema.Tipos.Punto.<init>(long, float, float)";"5.6190886E-5";"3";"3"
"            Utils.ArrayLista.<init>()";"4.682574E-4";"25";"9"
"           Self time";"5.619089E-4";"30";"3"
"          Interfaz.IU.informar(String, Interfaz.InformarConst)";"0.070070036";"3741";"3"
"           Interfaz.Traductor.informar_hosp(String, javax.swing.JFrame)";"0.06977035";"3725";"3"
"            Interfaz.Swing.Simulacion.set_ihosp(String)";"0.06913352";"3691";"3"
"            Self time";"6.1809976E-4";"33";"3"
"           Self time";"2.9968473E-4";"16";"3"
"          Utils.System_Log.log_normal(String)";"0.0398768";"2129";"3"
"          Self time";"0.0072673545";"388";"3"
"          Sistema.Tipos.Punto.toString()";"0.0032590714";"174";"3"
"          Sistema.Tipos.Pedido.siguiente_tramo()";"0.0015920751";"85";"2"
"           Sistema.Tipos.Ambulancias.Ambulancia.tiempoXcuadra(Sistema.Tipos.Calle)";"9.1778446E-4";"49";"2"
"           Self time";"6.7429064E-4";"36";"2"
"          Sistema.Tipos.Admin_Ambulancias.hay_ambulancias(Class)";"5.619089E-4";"30";"3"
"          Sistema.Tipos.Admin_Ambulancias.sacar_ambulancia(Class)";"4.307968E-4";"23";"3"
"          Utils.ArrayLista.add(Object)";"1.8730295E-4";"10";"3"
"           Self time";"1.3111207E-4";"7";"3"
"           Sistema.Tipos.Pedido.equals(Object)";"3.746059E-5";"2";"3"
"         Self time";"6.3683005E-4";"34";"3"
"         Sistema.Tipos.Pedido.<init>(int, Sistema.Tipos.Punto, Class)";"4.4952708E-4";"24";"3"
"        Self time";"0.0025473202";"136";"3"
"        Sistema.Tipos.Punto.<init>(long, float, float)";"9.365148E-5";"5";"3"
"       Self time";"0.0044016195";"235";"3"
"       Interfaz.Swing.Nucleo_Keeper.get_Nucleo()";"1.3111207E-4";"7";"3"
"      Self time";"3.1841503E-4";"17";"3"
"     Self time";"0.0012361995";"66";"3"
"    Interfaz.Swing.Menu_Hospital$1.actionPerformed(java.awt.event.ActionEvent)";"10.149704";"541887";"1"
"     Interfaz.Swing.Menu_Hospital.access$000(Interfaz.Swing.Menu_Hospital, java.awt.event.ActionEvent)";"10.148954";"541847";"1"
"      Interfaz.Swing.Menu_Hospital.set_hospActionPerformed(java.awt.event.ActionEvent)";"10.148711";"541834";"1"
"       Sistema.Sistema.config_hospital(long)";"6.4097505";"342213";"1"
"        Sistema.Tipos.Ciudad.setHospital(long)";"4.4531465";"237751";"1"
"         Sistema.Tipos.Hospital.<init>(Sistema.Tipos.Logistica, Sistema.Tipos.Punto)";"4.401526";"234995";"1"
"          Utils.Tipo_Utils.subclases_ambulancia()";"3.5562277";"189865";"1"
"           Utils.SubClassFinder.findSubclasses(String)";"2.2627509";"120807";"1"
"            Utils.SubClassFinder.findSubclasses(Class, java.util.Map)";"2.2328947";"119213";"1"
"             Utils.SubClassFinder.findSubclasses(java.net.URL, String, Class)";"2.2080584";"117887";"9"
"              Self time";"2.1963894";"117264";"9"
"              Utils.SubClassFinder$3.compare(Object, Object)";"0.0053568645";"286";"11"
"               Utils.SubClassFinder$3.compare(Class, Class)";"0.0040644743";"217";"11"
"               Self time";"0.0012736601";"68";"11"
"              Interfaz.InformarConst.<clinit>";"0.0030343079";"162";"1"
"               Self time";"0.0025473202";"136";"1"
"               Interfaz.InformarConst.<init>(String, int)";"4.682574E-4";"25";"9"
"              Interfaz.IU$1.<clinit>";"0.001460963";"78";"1"
"               Self time";"7.492118E-4";"40";"1"
"               Interfaz.InformarConst.values()";"6.9302093E-4";"37";"1"
"             Utils.SubClassFinder$2.compare(Object, Object)";"0.01702584";"909";"25"
"              Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0154899545";"827";"25"
"              Self time";"0.0015358842";"82";"25"
"             Self time";"0.007791803";"416";"1"
"            Self time";"0.029818632";"1592";"1"
"           Utils.SubClassFinder.<init>()";"1.1282942";"60239";"1"
"            Utils.SubClassFinder.refreshLocations()";"1.1260654";"60120";"1"
"             Utils.SubClassFinder.getClasspathLocations()";"1.1259342";"60113";"1"
"              Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"1.1212704";"59864";"1"
"               Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.5818754";"31066";"6"
"                Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.3341672";"17841";"2"
"                 Utils.SubClassFinder$1.accept(java.io.File)";"0.19653699";"10493";"94"
"                 Self time";"0.10957223";"5850";"2"
"                 Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.024892563";"1329";"1"
"                  Utils.SubClassFinder$1.accept(java.io.File)";"0.014946776";"798";"7"
"                  Self time";"0.009927057";"530";"1"
"                 Utils.SubClassFinder$2.compare(Object, Object)";"0.0031466896";"168";"4"
"                  Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0029593867";"158";"4"
"                  Self time";"1.6857266E-4";"9";"4"
"                Self time";"0.17906162";"9560";"6"
"                Utils.SubClassFinder$1.accept(java.io.File)";"0.06452587";"3445";"31"
"                Utils.SubClassFinder$2.compare(Object, Object)";"0.004101935";"219";"5"
"                 Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0037835198";"202";"5"
"                 Self time";"2.9968473E-4";"16";"5"
"               Self time";"0.5156263";"27529";"1"
"               Utils.SubClassFinder$2.compare(Object, Object)";"0.01204358";"643";"14"
"                Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.010975953";"586";"14"
"                Self time";"0.0010488966";"56";"14"
"               Utils.SubClassFinder$1.accept(java.io.File)";"0.011706435";"625";"6"
"              Self time";"0.0046638437";"249";"1"
"             Self time";"1.3111207E-4";"7";"1"
"            Self time";"0.0022289052";"119";"1"
"           Utils.SubClassFinder.<clinit>";"0.096404836";"5147";"1"
"            Self time";"0.09582419";"5116";"1"
"            Utils.SubClassFinder$1.<init>()";"1.6857266E-4";"9";"1"
"            Utils.SubClassFinder$3.<init>()";"1.6857266E-4";"9";"1"
"            Utils.SubClassFinder$2.<init>()";"1.4984237E-4";"8";"1"
"           Self time";"0.06815954";"3639";"1"
"           Utils.SubClassFinder.getErrors()";"5.05718E-4";"27";"1"
"          Sistema.Tipos.Admin_Ambulancias.<init>(Sistema.Tipos.Punto)";"0.6609172";"35286";"1"
"           Utils.Tipo_Utils.subclases_ambulancia()";"0.58254963";"31102";"1"
"            Utils.SubClassFinder.<init>()";"0.43167713";"23047";"1"
"             Utils.SubClassFinder.refreshLocations()";"0.4315273";"23039";"1"
"              Utils.SubClassFinder.getClasspathLocations()";"0.43147108";"23036";"1"
"               Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.42972916";"22943";"1"
"                Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.3888222";"20759";"6"
"                 Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.26544574";"14172";"2"
"                  Utils.SubClassFinder$1.accept(java.io.File)";"0.18932582";"10108";"94"
"                  Self time";"0.05019719";"2680";"2"
"                  Utils.SubClassFinder.include(String, java.io.File, java.util.Map)";"0.023937318";"1278";"1"
"                   Utils.SubClassFinder$1.accept(java.io.File)";"0.014422327";"770";"7"
"                   Self time";"0.00951499";"508";"1"
"                  Utils.SubClassFinder$2.compare(Object, Object)";"0.0019479508";"104";"4"
"                   Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0017044569";"91";"4"
"                   Self time";"2.2476354E-4";"12";"4"
"                 Utils.SubClassFinder$1.accept(java.io.File)";"0.06304617";"3366";"31"
"                 Self time";"0.057857882";"3089";"6"
"                 Utils.SubClassFinder$2.compare(Object, Object)";"0.0024536687";"131";"5"
"                  Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0021727143";"116";"5"
"                  Self time";"2.6222414E-4";"14";"5"
"                Self time";"0.022570007";"1205";"1"
"                Utils.SubClassFinder$1.accept(java.io.File)";"0.0113130985";"604";"6"
"                Utils.SubClassFinder$2.compare(Object, Object)";"0.0070051304";"374";"14"
"                 Utils.SubClassFinder$2.compare(java.net.URL, java.net.URL)";"0.0061809975";"330";"14"
"                 Self time";"8.054027E-4";"43";"14"
"               Self time";"0.0017419175";"93";"1"
"              Self time";"5.6190886E-5";"3";"1"
"             Self time";"1.3111207E-4";"7";"1"
"            Utils.SubClassFinder.findSubclasses(String)";"0.15016077";"8017";"1"
"             Utils.SubClassFinder.findSubclasses(Class, java.util.Map)";"0.14946777";"7980";"1"
"              Utils.SubClassFinder.findSubclasses(java.net.URL, String, Class)";"0.13506417";"7211";"9"
"               Self time";"0.13173017";"7033";"9"
"               Utils.SubClassFinder$3.compare(Object, Object)";"0.0033152623";"177";"11"
